timestamp,stage,dataset,method,variant,component,run_idx,seed,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,delta_vs_full,drop_vs_full,relative_drop_vs_full,trace_ts_mean,trace_ts_last,trace_mined_pairs_mean,trace_mined_pairs_last,trace_avg_pairs_mean,trace_avg_pairs_last,base_params_json,trial_params_json,notes
2026-05-21 21:02:28,run,DBLP,ifl-gr,full,complete SG-GCL,1,83522,,0.718400,0.007400,0.613100,0.014400,0.714700,,,,,0.897867,0.895500,11399.300000,12440.000000,3.799600,4.150000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83522, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:06:12,run,DBLP,ifl-gr,full,complete SG-GCL,2,83523,,0.718800,0.005200,0.617200,0.022500,0.716200,,,,,0.886222,0.879400,10989.440000,12344.000000,3.662700,4.110000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83523, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:09:45,run,DBLP,ifl-gr,full,complete SG-GCL,3,83524,,0.716300,0.002600,0.617800,0.008600,0.715000,,,,,0.900003,0.897900,10451.900000,11678.000000,3.484400,3.890000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83524, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:16:19,run,DBLP,ifl-gr,no_warmup,w/o warmup,1,83522,,0.721900,0.003000,0.642100,0.001000,0.720400,,,,,0.902257,0.900400,10408.350000,12378.000000,3.469700,4.130000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83522, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 0}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:22:45,run,DBLP,ifl-gr,no_warmup,w/o warmup,2,83523,,0.713000,0.010700,0.632600,0.018700,0.707650,,,,,0.895353,0.880300,9737.070000,12624.000000,3.245650,4.210000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83523, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 0}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:29:29,run,DBLP,ifl-gr,no_warmup,w/o warmup,3,83524,,0.701700,0.017300,0.601300,0.029600,0.693050,,,,,0.908929,0.900900,9407.750000,12062.000000,3.135750,4.020000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83524, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 0}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:32:31,run,DBLP,ifl-gr,single_mining,w/o dynamic update,1,83522,,0.722700,0.002900,0.642100,0.004400,0.721250,,,,,0.900900,0.900900,10092.000000,10092.000000,3.360000,3.360000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83522, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 201, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:35:31,run,DBLP,ifl-gr,single_mining,w/o dynamic update,2,83523,,0.701400,0.019700,0.619300,0.019100,0.691550,,,,,0.892100,0.892100,9798.000000,9798.000000,3.270000,3.270000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83523, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 201, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:38:32,run,DBLP,ifl-gr,single_mining,w/o dynamic update,3,83524,,0.721900,0.004000,0.626800,0.005000,0.719900,,,,,0.903800,0.903800,9116.000000,9116.000000,3.040000,3.040000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83524, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 201, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:42:18,run,DBLP,ifl-gr,uniform_weight,w/o semantic weight,1,83522,,0.712800,0.002600,0.622900,0.019700,0.711500,,,,,0.897932,0.896000,11405.980000,12352.000000,3.801100,4.120000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 0.0, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83522, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:46:05,run,DBLP,ifl-gr,uniform_weight,w/o semantic weight,2,83523,,0.711200,0.009300,0.634000,0.015800,0.706550,,,,,0.886237,0.879400,10995.120000,12372.000000,3.664900,4.120000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 0.0, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83523, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
2026-05-21 21:49:45,run,DBLP,ifl-gr,uniform_weight,w/o semantic weight,3,83524,,0.707800,0.014700,0.603500,0.024200,0.700450,,,,,0.900241,0.898900,10424.200000,11524.000000,3.474600,3.840000,"{""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.023650"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.724850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-11 21:19:10"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 0.0, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 14, ""seed"": 83524, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.8, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=1; base_robust=0.722117
